,Abbrev,Team
0,CAR,Carolina Panthers
1,BAL,Baltimore Ravens
2,TEN,Tennessee Titans
3,GNB,Green Bay Packers
4,DAL,Dallas Cowboys
5,MIN,Minnesota Vikings
6,NOR,New Orleans Saints
7,KAN,Kansas City Chiefs
8,CLE,Cleveland Browns
9,LAC,Los Angeles Chargers
10,SEA,Seattle Seahawks
11,TAM,Tampa Bay Buccaneers
12,SFO,San Francisco 49ers
13,HOU,Houston Texans
14,OAK,Oakland Raiders
15,DET,Detroit Lions
16,NYG,New York Giants
17,PHI,Philadelphia Eagles
18,CIN,Cincinnati Bengals
19,LAR,Los Angeles Rams
20,ATL,Atlanta Falcons
21,MIA,Miami Dolphins
22,JAX,Jacksonville Jaguars
23,CHI,Chicago Bears
24,NWE,New England Patriots
25,IND,Indianapolis Colts
26,BUF,Buffalo Bills
27,DEN,Denver Broncos
28,ARI,Arizona Cardinals
29,NYJ,New York Jets
30,WAS,Washington Redskins
31,PIT,Pittsburgh Steelers
32,SDG,San Diego Chargers
33,STL,St. Louis Rams
